StoreID,WebsiteID,WebsiteLink
S043,W004,https://www.youtube.com/channel/UCm_qIT_eyCaK93s_UerLTIw
S043,W001,https://www.instagram.com/mathnificent
S044,W008,https://bookshop.org/shop/lilmtnbooks
S044,W002,https://www.facebook.com/people/Little-Mountain-Books-and-Botanica/61570302552210/?_rdr
S044,W001,https://www.instagram.com/lilmtnbooks/
S045,W003,https://thelakewoodbookstore.com/home
S045,W008,https://bookshop.org/shop/thelakewoodbookstore
S045,W002,https://www.facebook.com/profile.php?id=61551417519819
S045,W001,https://www.instagram.com/thelakewoodbookstore/
S046,W003,https://www.booksontheharbor.com/shop
S046,W008,https://bookshop.org/ebooks?bsbanner=1
S046,W002,https://www.facebook.com/harborbooks
S046,W001,https://www.instagram.com/booksontheharbor/
S047,W003,https://hivoltagerecords.com/
S047,W002,https://www.facebook.com/hivoltagerecords/
S047,W001,https://www.instagram.com/hivoltagerecords
S047,W007,x.com/Hivoltagerecord
S048,W001,https://www.instagram.com/couthbuzzardbooks/
S048,W002,https://www.facebook.com/CouthBuzzardBooks
S048,W003,https://www.couthbuzzard.com/
S049,W001,https://www.instagram.com/theromanceerabookshop/
S049,W002,https://www.facebook.com/people/The-Romance-Era-Bookshop/61551050977533/
S049,W003,https://theromanceerabookshop.com/
S050,W003,https://kittitasbooks.com/
S051,W001,https://www.instagram.com/giantnerdbooks
S051,W002,https://www.facebook.com/giant.nerd.books 
S051,W003,https://www.giantnerdbooks.com/ 
S052,W003,https://www.williamjamesbookseller.com/
S053,W001,https://www.instagram.com/kisstheskybooks/
S053,W002,https://www.facebook.com/KisstheSkyBooks 
S054,W001,https://www.instagram.com/Webebooknmonroe
S054,W003,https://www.webebooknstore.com/
S055,W003,https://www.perusethestacks.com/ 
